wr1;wr2;wr3;wr4;wr5;wr6;wr7;wr8;wblack1;wb1;wb2;wb3;wb4;wb5;wb6;wb7;wb8;wb9;ww1;ww2;ww3;ww4;ww5;ww6;ww7;wz1;wz2;wz3;wz4;wp1;wp2;wp3;wp4;association;pred
каша_NOUN;тарелка_NOUN;снеговик_NOUN;стол_NOUN;дятел_NOUN;верфь_NOUN;червь_NOUN;сила_NOUN;раковина_NOUN;высота_NOUN;кокетка_NOUN;налет_NOUN;запах_NOUN;номер_NOUN;орган_NOUN;бар_NOUN;кол_NOUN;Берлин_PROPN;Франция_PROPN;биржа_NOUN;мышь_NOUN;привод_NOUN;рак_NOUN;Европа_PROPN;нота_NOUN;каша_NOUN;тарелка_NOUN;стол_NOUN;;каша_NOUN;стол_NOUN;бар_NOUN;;завтрак_NOUN;0.19
перемена_NOUN;лев_NOUN;течение_NOUN;рыцарь_NOUN;кенгуру_NOUN;шпион_NOUN;стекло_NOUN;доктор_NOUN;прибор_NOUN;стена_NOUN;налет_NOUN;мат_NOUN;вор_NOUN;собака_NOUN;смерть_NOUN;десна_NOUN;пистолет_NOUN;эфир_NOUN;проспект_NOUN;каша_NOUN;мотив_NOUN;мушка_NOUN;бар_NOUN;наряд_NOUN;рок_NOUN;рыцарь_NOUN;шпион_NOUN;доктор_NOUN;;собака_NOUN;рыцарь_NOUN;смерть_NOUN;;человек_NOUN;0.038000000000000006
образ_NOUN;крест_NOUN;узел_NOUN;парашют_NOUN;хвост_NOUN;пришелец_NOUN;путь_NOUN;норка_NOUN;туба_NOUN;канал_NOUN;мелочь_NOUN;акт_NOUN;колонна_NOUN;крыло_NOUN;поле_NOUN;знак_NOUN;Антарктида_PROPN;повар_NOUN;дух_NOUN;перчатка_NOUN;Олимп_NOUN;клетка_NOUN;пара_NOUN;конек_NOUN;свидетель_NOUN;образ_NOUN;крест_NOUN;;;дух_NOUN;крест_NOUN;;;православие_NOUN;0.22499999999999998
пол_NOUN;залог_NOUN;кол_NOUN;яд_NOUN;игла_NOUN;операция_NOUN;червь_NOUN;кора_NOUN;декрет_NOUN;мир_NOUN;дятел_NOUN;лес_NOUN;призрак_NOUN;лев_NOUN;няня_NOUN;гребень_NOUN;яблоко_NOUN;струна_NOUN;вор_NOUN;дума_NOUN;перевод_NOUN;перо_NOUN;пилот_NOUN;кошка_NOUN;липа_NOUN;игла_NOUN;операция_NOUN;;;операция_NOUN;пилот_NOUN;;;хирург_NOUN;0.22499999999999998
посольство_NOUN;гвоздь_NOUN;адвокат_NOUN;жила_NOUN;салют_NOUN;театр_NOUN;принцесса_NOUN;кетчуп_NOUN;кадр_NOUN;боров_NOUN;Рим_PROPN;шпагат_NOUN;корона_NOUN;кол_NOUN;фига_NOUN;фокус_NOUN;вождь_NOUN;перо_NOUN;лама_NOUN;налет_NOUN;свидетель_NOUN;шар_NOUN;труба_NOUN;помет_NOUN;осьминог_NOUN;салют_NOUN;театр_NOUN;;;салют_NOUN;театр_NOUN;;;развлечение_NOUN;0.75
казино_NOUN;фокус_NOUN;венец_NOUN;колонна_NOUN;соль_NOUN;Антарктида_PROPN;театр_NOUN;акт_NOUN;база_NOUN;палочка_NOUN;орел_NOUN;косяк_NOUN;падение_NOUN;экран_NOUN;стойка_NOUN;дракон_NOUN;колода_NOUN;проспект_NOUN;партия_NOUN;аппарат_NOUN;Германия_PROPN;коса_NOUN;заяц_NOUN;зуб_NOUN;голова_NOUN;казино_NOUN;театр_NOUN;;;казино_NOUN;театр_NOUN;;;развлечение_NOUN;0.75
диск_NOUN;замок_NOUN;брак_NOUN;няня_NOUN;осьминог_NOUN;Голливуд_PROPN;банк_NOUN;золото_NOUN;сантехник_NOUN;кольцо_NOUN;покров_NOUN;область_NOUN;экран_NOUN;платье_NOUN;бомба_NOUN;взгляд_NOUN;Мексика_PROPN;раковина_NOUN;бревно_NOUN;ангел_NOUN;пачка_NOUN;гриф_NOUN;волна_NOUN;лист_NOUN;боров_NOUN;замок_NOUN;банк_NOUN;;;замок_NOUN;покров_NOUN;;;здание_NOUN;0.15000000000000002
ударник_NOUN;полиция_NOUN;стрела_NOUN;Германия_PROPN;водолаз_NOUN;сердце_NOUN;кисть_NOUN;скат_NOUN;лес_NOUN;бревно_NOUN;миллионер_NOUN;солдат_NOUN;Сатурн_NOUN;батарея_NOUN;брак_NOUN;форма_NOUN;вор_NOUN;пистолет_NOUN;морковь_NOUN;привод_NOUN;мост_NOUN;подъем_NOUN;киви_NOUN;ссылка_NOUN;коса_NOUN;водолаз_NOUN;скат_NOUN;;;лес_NOUN;коса_NOUN;;;море_NOUN;0.0
паук_NOUN;мост_NOUN;концерт_NOUN;мышь_NOUN;налет_NOUN;кенгуру_NOUN;няня_NOUN;ясли_NOUN;небоскреб_NOUN;прокат_NOUN;кабинет_NOUN;Африка_PROPN;ключ_NOUN;прибор_NOUN;точка_NOUN;шпагат_NOUN;баня_NOUN;береза_NOUN;карта_NOUN;пояс_NOUN;ученый_NOUN;замок_NOUN;свет_NOUN;ствол_NOUN;труба_NOUN;паук_NOUN;мышь_NOUN;кенгуру_NOUN;;паук_NOUN;кенгуру_NOUN;мышь_NOUN;;животное_NOUN;0.95
Мексика_PROPN;аппарат_NOUN;венец_NOUN;род_NOUN;небоскреб_NOUN;блин_NOUN;раковина_NOUN;путь_NOUN;корабль_NOUN;круг_NOUN;колода_NOUN;червь_NOUN;король_NOUN;течение_NOUN;яд_NOUN;лев_NOUN;каша_NOUN;мотив_NOUN;сердце_NOUN;курс_NOUN;акт_NOUN;взгляд_NOUN;ангел_NOUN;рак_NOUN;агент_NOUN;венец_NOUN;род_NOUN;;;блин_NOUN;венец_NOUN;;;свадьба_NOUN;0.75
